[MPEG:feedES] #0 size=64 first4=000001b3 decoderFailed=0 waitSeq=1
[MPEG:feed] inSize=64 parsed=64 packets=0 newFrames=0 totalFrames=0
THRESHOLD mode=byte bytes=64 AddBsCalls=1 consumed=64 parserCalls=1 packets=0 frames=0 firstPacketAtFed=0 firstFrameAtFed=0 eofSends=0
[MPEG:feedES] #1 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #2 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #3 size=1 first4=01 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #4 size=1 first4=b8 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #5 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #6 size=1 first4=08 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #7 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #8 size=1 first4=40 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #9 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #10 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #11 size=1 first4=01 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #12 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #13 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #14 size=1 first4=0f decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #15 size=1 first4=ff decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #16 size=1 first4=f8 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #17 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #18 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #19 size=1 first4=01 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #20 size=1 first4=b5 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #21 size=1 first4=8f decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
